Type,Dedicated Graphic Memory Capacity,SSD,RAM (in GB),Expandable Memory,Touchscreen,Screen Size (in inch),screen_resolution,Storage,CPU_ranking,gpu_benchmark,ram_type_tokenized,Price(RM),Refresh_Rate
4,4.0,1,16,1,0,15.6,1080,512,64,59.9,4,4102.45,1
2,0.0,0,4,0,0,15.6,1080,1000,362,4.23,4,2034.94,1
1,4.0,1,16,0,0,16.0,1080,512,178,59.9,4,4379.1,1
4,0.0,1,8,0,0,14.0,720,512,61,4.23,4,6577.94,1
2,0.0,1,16,1,1,13.3,1080,1000,87,102.0,6,4398.79,1
2,0.0,1,16,0,0,15.6,1080,512,108,17.5,4,3767.39,1
2,0.0,1,8,1,0,15.6,1080,512,540,4.23,4,2012.94,1
4,0.0,1,16,0,0,14.22,1080,512,61,4.23,4,4729.94,1
4,0.0,1,8,0,0,14.0,1080,512,362,4.23,4,2226.95,1
1,6.0,1,16,1,0,16.1,1080,1000,61,132.0,4,7369.45,1
4,0.0,1,8,0,0,15.6,1080,512,362,5.05,4,2292.95,2
4,0.0,1,8,0,0,15.0,1080,256,362,5.05,4,2281.95,1
4,0.0,1,8,0,0,15.6,1080,1256,108,4.23,4,3299.45,1
2,0.0,1,8,0,0,14.0,1080,256,108,17.5,4,4234.45,1
2,0.0,1,8,0,0,14.0,1080,256,108,17.5,4,4234.45,1
2,0.0,1,8,1,0,15.6,1080,256,362,4.23,4,2199.34,1
2,0.0,1,8,0,0,16.0,1440,512,108,17.5,4,4784.45,1
4,0.0,1,8,1,0,15.6,1080,512,330,102.0,4,2364.45,1
1,4.0,1,16,1,0,15.6,1080,512,48,59.0,4,5389.45,1
2,0.0,1,4,1,0,15.6,1080,256,362,5.05,4,1924.94,1
1,6.0,1,16,0,0,15.6,1440,1000,48,132.0,4,7479.45,1
4,0.0,0,4,0,0,15.6,1080,1000,873,5.05,5,1539.45,1
2,0.0,1,8,1,0,15.6,1080,512,108,17.5,4,3189.45,1
2,0.0,1,8,0,0,14.1,1080,512,362,5.05,4,2199.45,2
4,0.0,1,16,0,1,17.3,1080,512,108,17.5,4,3174.05,2
1,6.0,1,16,0,0,14.0,1440,1000,34,132.0,4,7259.45,1
4,0.0,0,8,0,0,15.6,1080,1000,362,4.23,4,2419.45,1
2,0.0,1,8,0,0,14.0,1080,256,108,5.05,4,2584.45,2
2,0.0,1,8,1,0,15.6,1080,512,560,102.0,4,2391.95,1
2,0.0,1,8,1,0,14.96,1080,512,362,5.05,4,2501.95,1
2,0.0,1,8,1,0,15.6,1080,1256,362,5.05,4,2694.45,1
2,0.0,1,8,1,0,14.0,1080,1256,108,17.5,4,3222.45,1
3,0.0,1,8,1,1,14.0,1080,512,87,102.0,4,3876.95,1
2,0.0,1,8,1,0,14.0,1080,512,540,4.23,4,2254.45,1
2,0.0,0,8,1,0,15.6,1080,1000,540,5.05,4,2171.95,1
2,0.0,1,8,1,0,14.0,1080,512,87,102.0,4,3271.95,1
2,0.0,0,8,1,0,14.96,1080,1000,362,5.05,4,1869.45,1
2,0.0,1,8,1,0,14.0,1080,512,560,102.0,4,2144.45,1
2,2.0,1,8,1,0,15.6,1080,1256,108,5.05,4,3656.95,1
2,0.0,0,8,1,0,15.6,1080,1000,560,102.0,4,2056.45,1
2,2.0,1,8,1,0,15.6,1080,512,108,5.05,4,3629.45,1
2,0.0,1,8,1,0,14.96,1080,256,560,102.0,4,1924.45,1
2,0.0,1,8,1,0,15.6,1080,1256,362,5.05,4,2446.95,1
